ID	NAME	RARITY	IsDone	CLASS	ATTACK	HEALTH	DESCRIPTION	Keywords	Archetypes	Other Notes/Comments about this Card
1	Diamond Pawn	Starter	TRUE	Pawn	5	7			Starter Cards	Basic card, probably not obtainable through shops
2	Heart Pawn	Starter	TRUE	Pawn	5	8			Starter Cards	Basic card, probably not obtainable through shops
3	Club Pawn	Starter	TRUE	Pawn	7	5			Starter Cards	Basic card, probably not obtainable through shops
4	Spade Pawn	Starter	TRUE	Pawn	4	7	Showdown: If there is another Spade Pawn played with this card, gain +2/+2	Showdown	Starter Cards	Basic card, probably not obtainable through shops
5	Wisp	Starter	TRUE	Arcane	4	5	Showdown: Friendly Arcane units gain +1/+1	Showdown		
6	Robo-dog	Starter	TRUE	Mechanical	3	3	Showdown: Give adjacent units +2/+2.	Showdown		Basic card, much stronger than the pawns but will basic deck will only contain 1 copy
7	Living Spellbook	Common	TRUE	Arcane	4	9	Showdown: Deal 2 damage to a random Foe. Repeat for each friendly Arcane unit.	Showdown	Multi-hit	
8	Alchemist	Common	TRUE	Arcane	6	6	Showdown: Your left-most unit gains +4/+4	Showdown	General	
9	Crazy Cannoneer	Common	TRUE	Citizen	1	7	When damaged, deal 3 damage to a random Foe		Take Damage Build	
10	Defender	Common	TRUE	Knight	1	17	Intercept	Intercept	General, Take Damage Build	
11	Flagbearer	Common	TRUE	Knight	7	7	Advantage: give random Ally +2/+0	Advantage	General, Multi-hit	
12	Crimson Zealot	Common	TRUE	Arcane	1	10	Allies gain +2/+0 whenever they take damage		Take Damage Build	
13	Diamond Fencer	Common	FALSE	Citizen	5	8	This unit attacks twice		Multi-hit	
14	Young Prince	Common	FALSE	Royalty	7	4	Final Wager: Knights gain +2/+2 for the rest of this encounter	Final Wager	On-Combat Scaling	
15	Blood Hound	Common	FALSE	Undead	0	12	Whenever an Ally dies, gain +2/+0		Final Wager, Token	
16	Town Mayor	Common	FALSE	Citizen	4	10	Showdown: If there are 2+ other friendly Citizens, gain +5/+5 and Intercept.	Showdown	General	
17	Constructive Construct	Common	FALSE	Mechanical	4	4	Gains the Base Attack and Base HP of all adjacent mech units.			
18	Rogue	Common	FALSE	Citizen	6	5	Obscured: Gain +6/+5	Obscured	General	
19	Battle Herald	Common	FALSE	Knight	7	10	Final Wager: All your units gain +3 attack	Final Wager	General	
20	Ruin Guard	Rare	FALSE	Mechanical	0	5	Intercept. Other Allies take -1 Damage	Intercept	General	
21	Clanker Army	Rare	FALSE	Mechanical	8	8	Showdown: If 2+ Mechanical units, all mech units gain +2/+2 for each mech unit	Showdown		
22	Railgun	Rare	FALSE	Mechanical	5	3	Advantage: Deal 1 damage to foe above this unit for every ally Mechanical unit	Advantage	Multi-hit	
23	King of Diamonds	Rare	FALSE	Royalty	9	9	Showdown: Knights gain +2/+2. Pawns gain +5/+5.	Showdown	General	
24	The Watchful Eye	Rare	FALSE	Mechanical	8	2	Whenever an Ally attacks, deal 3 to a random enemy		Multi-hit	Should trigger the Giant's attack for every instance of damage, so on a full board, would trigger 10x
25	Duelist	Rare	FALSE	Royalty	18	4			General	
26	Blade Instructor	Rare	FALSE	Royalty	4	2	Showdown: The unit on the left attacks twice	Showdown		
27	Fisherman	Rare	FALSE	Citizen	3	5	Showdown: Swap leftmost foe with foe that has lowest HP.	Showdown		In case of ties, decide based on least health. If health is tied, decide based on left-most unit
28	Revenant	Rare	FALSE	Undead	4	5	Final Wager: Give all allies +3/+3	Final Wager	General, Final Wager	
29	Bard	Rare	FALSE	Citizen	0	10	On Use: Give all allies +1/+1	On Use	General	
30	Trap Trick	Rare	FALSE	Mechanical	6	6	Showdown: Retrigger all triggered ally obscured effects this combat.	Showdown		
31	Trap Master	Mythic	FALSE	Citizen	12	14	Obscured: Deal 10 damage to above foe for each triggered ally obscured.	Obscured		
32	Living Cactus	Mythic	FALSE	Arcane	0	12	Deal damage to attacking Foe equal to its attack		General	
33	Field Scientist	Mythic	FALSE	Citizen	2	1	Mechanical units don't take any damage the first time they are damaged			
34	Joker	Legendary	FALSE	Wild Card	1	1	Copies the stats and effect of the unit on its left. Cannot copy another Joker		General	
35	The Repear	Legendary	FALSE	Undead	14	12	Final Wager trigger twice	Final Wager	Final Wager	
